Project;Method;ReleaseID;LOC;CyclomaticComplexity;CognitiveComplexity;Number of Smells;ParameterCount;NestingDepth;StatementCount;LocalVariableCount;ReturnTypeComplexity;MethodHistories;StmtAdded;StmtDeleted;Churn;DistinctAuthors;Bugginess
Bookkeeper;../bookkeeper/bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/TestClient.java/getFreshEntryId;4.0.0;5;1;0;0;1;0;3;0;1;2;6;1;7;1;Yes
Bookkeeper;../bookkeeper/bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/TestClient.java/removeEntryId;4.0.0;11;3;3;3;1;2;3;1;1;2;16;4;20;1;Yes
Bookkeeper;../bookkeeper/bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/TestClient.java/closeHandle;4.0.0;2;1;0;0;0;0;1;0;1;1;1;0;1;1;Yes
Bookkeeper;../bookkeeper/bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/TestClient.java/main;4.0.0;35;8;7;2;1;3;5;8;1;4;48;41;89;2;Yes
Bookkeeper;../bookkeeper/bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/TestClient.java/writeSameEntryBatch;4.0.0;12;3;2;2;2;1;8;1;1;4;22;6;28;3;Yes
Bookkeeper;../bookkeeper/bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/TestClient.java/writeConsecutiveEntriesBatch;4.0.0;20;3;2;2;1;1;9;5;1;4;39;14;53;3;Yes
Bookkeeper;../bookkeeper/bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/TestClient.java/writeSameEntryBatchFS;4.0.0;13;3;3;2;2;2;3;1;1;4;20;14;34;2;Yes
Bookkeeper;../bookkeeper/bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/TestClient.java/addComplete;4.0.0;3;1;0;0;4;0;1;0;1;2;4;1;5;1;Yes
Bookkeeper;../bookkeeper/bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/TestClient.java/readComplete;4.0.0;8;2;1;2;4;1;3;1;1;3;16;5;21;2;Yes
Bookkeeper;../bookkeeper/bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/BenchThroughputLatency 2.java/close;4.0.0;4;2;1;0;0;1;2;1;1;0;0;0;0;0;No
